,departure,arrival,continental
271,BE,TR,1
272,BE,UA,1
273,BE,GB,1
274,BZ,CA,1
275,BZ,CR,1
276,BZ,CU,1
277,BZ,DM,1
278,BZ,SV,1
279,BZ,GD,1
280,BZ,GT,1
281,BZ,HT,1
282,BZ,HN,1
283,BZ,JM,1
284,BZ,MX,1
285,BZ,NI,1
286,BZ,PA,1
287,TT,BZ,1
288,BZ,US,1
289,BJ,BW,1
290,BJ,BF,1
291,BJ,BI,1
292,BJ,CM,1
293,BJ,CF,1
294,BJ,TD,1
295,BJ,KM,1
296,BJ,CG,1
297,CI,BJ,1
298,BJ,DJ,1
299,BJ,GQ,1
300,BJ,ER,1
301,BJ,ET,1
302,BJ,GA,1
303,BJ,GM,1
304,BJ,GH,1
305,BJ,KE,1
306,BJ,LS,1
307,BJ,LR,1
308,BJ,MG,1
309,BJ,MW,1
310,BJ,ML,1
311,BJ,MR,1
312,BJ,MU,1
313,BJ,MZ,1
314,BJ,,1
315,BJ,RW,1
316,BJ,ST,1
317,BJ,SN,1
318,BJ,SC,1
319,BJ,SL,1
320,BJ,SO,1
321,BJ,ZA,1
322,BJ,SS,1
323,BJ,SD,1
324,BJ,TG,1
325,BJ,UG,1
326,BJ,TZ,1
327,BJ,ZM,1
328,BJ,ZW,1
329,BT,BN,1
330,BT,KH,1
331,BT,CN,1
332,BT,IN,1
333,BT,ID,1
334,BT,IR,1
335,BT,IQ,1
336,BT,IL,1
337,BT,JP,1
338,BT,JO,1
339,BT,KZ,1
340,BT,KW,1
341,BT,KG,1
342,LA,BT,1
343,BT,LB,1
344,BT,MY,1
345,BT,MV,1
346,BT,MN,1
347,BT,MM,1
348,BT,NP,1
349,BT,PK,1
350,BT,PH,1
351,BT,QA,1
352,KR,BT,1
353,BT,SA,1
354,BT,SG,1
355,BT,LK,1
356,BT,TJ,1
357,BT,TH,1
358,BT,TL,1
359,BT,TM,1
360,AE,BT,1
361,BT,UZ,1
362,BT,VN,1
363,BO,BR,1
364,BO,CL,1
365,BO,CO,1
366,BO,EC,1
367,BO,GY,1
368,BO,PY,1
369,BO,PE,1
370,BO,SR,1
371,BO,UY,1
372,BO,VE,1
373,BA,BG,1
374,BA,HR,1
375,BA,CY,1
376,BA,CZ,1
377,BA,DK,1
378,BA,EG,1
379,BA,EE,1
380,BA,FI,1
381,BA,FR,1
382,BA,GE,1
383,BA,DE,1
384,BA,GR,1
385,BA,HU,1
386,BA,IS,1
387,BA,IT,1
388,BA,LV,1
389,BA,LY,1
390,BA,LI,1
391,BA,LT,1
392,BA,LU,1
393,BA,MT,1
394,BA,MC,1
395,BA,MA,1
396,BA,NL,1
397,BA,NO,1
398,BA,PL,1
399,BA,PT,1
400,BA,MD,1
401,BA,RO,1
402,BA,RU,1
403,BA,SM,1
404,BA,SK,1
405,BA,SI,1
406,BA,ES,1
407,BA,SE,1
408,BA,CH,1
409,BA,TN,1
410,BA,TR,1
411,BA,UA,1
412,BA,GB,1
413,BW,BF,1
414,BW,BI,1
415,BW,CM,1
416,BW,CF,1
417,BW,TD,1
418,BW,KM,1
419,BW,CG,1
420,CI,BW,1
421,BW,DJ,1
422,BW,GQ,1
423,BW,ER,1
424,BW,ET,1
425,BW,GA,1
426,BW,GM,1
427,BW,GH,1
428,BW,KE,1
429,BW,LS,1
430,BW,LR,1
431,BW,MG,1
432,BW,MW,1
433,BW,ML,1
434,BW,MR,1
435,BW,MU,1
436,BW,MZ,1
437,BW,,1
438,BW,RW,1
439,BW,ST,1
440,BW,SN,1
441,BW,SC,1
442,BW,SL,1
443,BW,SO,1
444,BW,ZA,1
445,BW,SS,1
446,BW,SD,1
447,BW,TG,1
448,BW,UG,1
449,BW,TZ,1
450,BW,ZM,1
451,BW,ZW,1
452,BR,CL,1
453,BR,CO,1
454,BR,EC,1
455,BR,GY,1
456,BR,PY,1
457,BR,PE,1
458,BR,SR,1
459,BR,UY,1
460,BR,VE,1
461,BN,KH,1
462,BN,CN,1
463,BN,IN,1
464,BN,ID,1
465,BN,IR,1
466,BN,IQ,1
467,BN,IL,1
468,BN,JP,1
469,BN,JO,1
470,BN,KZ,1
471,BN,KW,1
472,BN,KG,1
473,LA,BN,1
474,BN,LB,1
475,BN,MY,1
476,BN,MV,1
477,BN,MN,1
478,BN,MM,1
479,BN,NP,1
480,BN,PK,1
481,BN,PH,1
482,BN,QA,1
483,KR,BN,1
484,BN,SA,1
485,BN,SG,1
486,BN,LK,1
487,BN,TJ,1
488,BN,TH,1
489,BN,TL,1
490,BN,TM,1
491,AE,BN,1
492,BN,UZ,1
493,BN,VN,1
494,BG,HR,1
495,BG,CY,1
496,CZ,BG,1
497,BG,DK,1
498,BG,EG,1
499,BG,EE,1
500,BG,FI,1
501,BG,FR,1
502,BG,GE,1
503,BG,DE,1
504,BG,GR,1
505,BG,HU,1
506,BG,IS,1
507,BG,IT,1
508,BG,LV,1
509,BG,LY,1
510,BG,LI,1
511,BG,LT,1
512,BG,LU,1
513,BG,MT,1
514,BG,MC,1
515,BG,MA,1
516,BG,NL,1
517,BG,NO,1
518,BG,PL,1
519,BG,PT,1
520,BG,MD,1
521,BG,RO,1
522,BG,RU,1
523,BG,SM,1
524,BG,SK,1
525,BG,SI,1
526,BG,ES,1
527,BG,SE,1
528,BG,CH,1
529,BG,TN,1
530,BG,TR,1
531,BG,UA,1
532,BG,GB,1
533,BF,BI,1
534,BF,CM,1
535,BF,CF,1
536,BF,TD,1
537,BF,KM,1
538,BF,CG,1
539,CI,BF,1
540,BF,DJ,1
541,BF,GQ,1
542,BF,ER,1
543,BF,ET,1
544,BF,GA,1
545,BF,GM,1
546,BF,GH,1
547,BF,KE,1
548,BF,LS,1
549,BF,LR,1
550,BF,MG,1
551,BF,MW,1
552,BF,ML,1
553,BF,MR,1
554,BF,MU,1
555,BF,MZ,1
556,BF,,1
557,BF,RW,1
558,BF,ST,1
559,BF,SN,1
560,BF,SC,1
561,BF,SL,1
562,BF,SO,1
563,BF,ZA,1
564,BF,SS,1
565,BF,SD,1
566,BF,TG,1
567,BF,UG,1
568,BF,TZ,1
569,BF,ZM,1
570,BF,ZW,1
571,BI,CM,1
572,BI,CF,1
573,BI,TD,1
574,BI,KM,1
575,BI,CG,1
576,CI,BI,1
577,BI,DJ,1
578,BI,GQ,1
579,BI,ER,1
580,BI,ET,1
581,BI,GA,1
582,BI,GM,1
583,BI,GH,1
584,BI,KE,1
585,BI,LS,1
586,BI,LR,1
587,BI,MG,1
588,BI,MW,1
589,BI,ML,1
590,BI,MR,1
591,BI,MU,1
592,BI,MZ,1
593,BI,,1
594,BI,RW,1
595,BI,ST,1
596,BI,SN,1
597,BI,SC,1
598,BI,SL,1
599,BI,SO,1
600,BI,ZA,1
601,BI,SS,1
602,BI,SD,1
603,BI,TG,1
604,BI,UG,1
605,BI,TZ,1
606,BI,ZM,1
607,BI,ZW,1
608,KH,CN,1
609,KH,IN,1
610,KH,ID,1
611,KH,IR,1
612,KH,IQ,1
613,KH,IL,1
614,KH,JP,1
615,KH,JO,1
616,KH,KZ,1
617,KH,KW,1
618,KH,KG,1
619,LA,KH,1
620,KH,LB,1
621,KH,MY,1
622,KH,MV,1
623,KH,MN,1
624,KH,MM,1
625,KH,NP,1
626,KH,PK,1
627,KH,PH,1
628,KH,QA,1
629,KR,KH,1
630,KH,SA,1
631,KH,SG,1
632,KH,LK,1
633,KH,TJ,1
634,KH,TH,1
635,KH,TL,1
636,KH,TM,1
637,AE,KH,1
638,KH,UZ,1
639,KH,VN,1
640,CM,CF,1
641,CM,TD,1
642,CM,KM,1
643,CM,CG,1
644,CI,CM,1
645,CM,DJ,1
646,CM,GQ,1
647,CM,ER,1
648,CM,ET,1
649,CM,GA,1
